address,baths,beds,city,date_sold,hoa_fee,last_sold_price,latitude,longitude,parking,price,property_value,rent_high,rent_low,rent_value,sqft,tax_assessed_value,tax_rate,type,year_built,zest_high,zest_low,zest_value,zestimate
"5311 Fourmile Canyon Dr,",1.0,1.0,"Boulder, CO 80302",04/27/16,,211938,40.045964,-105.378388,,211938.0,211938,2300.0,1300.0,1550.0,632.0,71700,0.0054,Single Family,1954,242000.0,152000.0,190421.0,190421.0
"2375 Balsam Dr,",2.5,3.0,"Boulder, CO 80304",05/12/15,,1625000,40.027184,-105.265494,"Garage - Attached, 322 sqft garage",1625000.0,1625000,8200.0,6500.0,7062.0,2543.0,948200,0.0054,Single Family,1952,1930000.0,1660000.0,1786554.0,1786554.0
"825 Circle Dr,",3.0,2.0,"Boulder, CO 80302",02/11/15,,1350000,40.002513,-105.290829,,1350000.0,1350000,,,,2240.0,884100,0.0054,Single Family,1956,4200.0,1600.0,Unavailable,
"5032 Carter Ct,",4.0,5.0,"Boulder, CO 80301",11/25/14,,651373,40.06638,-105.196618,"Garage - Attached, 1125 sqft garage",651373.0,651373,4500.0,2400.0,3850.0,4518.0,651600,0.0054,Single Family,1988,1070000.0,830000.0,953920.0,953920.0
"4345 Butler Cir,",3.0,4.0,"Boulder, CO 80305",08/01/13,,700000,39.977656,-105.246556,"Garage - Attached, 440 sqft garage",700000.0,700000,4300.0,2500.0,3233.0,2576.0,634600,0.0054,Single Family,1968,892000.0,768000.0,825914.0,825914.0
"635 Iris Ave,",3.0,4.0,"Boulder, CO 80304",03/17/15,,850000,40.036177,-105.288655,"Garage - Detached, 550 sqft garage",850000.0,850000,5100.0,3000.0,4316.0,2912.0,758700,0.0054,Single Family,1959,1260000.0,984000.0,1093606.0,1093606.0
"537 Fountaintree Ln,",5.0,4.0,"Boulder, CO 80304",11/13/13,,1550000,40.057119,-105.308268,"Garage - Attached, 825 sqft garage",1550000.0,1550000,13000.0,5300.0,7895.0,5367.0,1205700,0.0054,Single Family,2009,2100000.0,1880000.0,1997255.0,1997255.0
"4660 White Rock Cir APT 2,",1.0,1.0,"Boulder, CO 80301",06/24/15, 182,165000,40.058986,-105.214981,Off street,165000.0,165000,1500.0,1200.0,1330.0,669.0,109600,0.0054,Condo,1984,201000.0,176000.0,184765.0,184765.0
"2247 Walnut St,",1.0,3.0,"Boulder, CO 80302",08/21/15,,605700,40.020105,-105.265526,,605700.0,605700,3400.0,2300.0,2695.0,1134.0,373600,0.0054,Condo,1913,686000.0,513000.0,618442.0,618442.0
"2855 Kenyon Cir,",2.0,3.0,"Boulder, CO 80305",03/03/15,,650000,39.975745,-105.259395,"Garage - Attached, 253 sqft garage",650000.0,650000,3200.0,2300.0,2650.0,1426.0,473600,0.0054,Single Family,1966,732000.0,649000.0,690945.0,690945.0
"220 Pawnee Dr,",3.0,3.0,"Boulder, CO 80303",06/13/13,,885000,39.991764,-105.236022,"2 spaces, 880 sqft garage",885000.0,885000,4500.0,3300.0,4095.0,3060.0,782900,0.0054,Single Family,2007,1100000.0,953000.0,1024818.0,1024818.0
"2434 Vine Pl,",3.0,4.0,"Boulder, CO 80304",11/19/13,,645000,40.052998,-105.265173,"Garage - Attached, 388 sqft garage",645000.0,645000,4100.0,2500.0,3200.0,2850.0,452900,0.0054,Single Family,1989,730000.0,640000.0,688253.0,688253.0
"4889 Kings Ridge Blvd,",3.0,3.0,"Boulder, CO 80301",10/02/14,,332100,40.033269,-105.239766,285 sqft garage,332100.0,332100,2700.0,2000.0,2300.0,1708.0,285800,0.0054,Condo,1992,505000.0,435000.0,463161.0,463161.0
"1090 Grant Pl,",3.0,6.0,"Boulder, CO 80302",09/04/13,,800000,40.007106,-105.282808,"Garage - Detached, 309 sqft garage",800000.0,800000,5400.0,1900.0,4922.0,3338.0,760000,0.0054,Single Family,1919,1440000.0,1120000.0,1245219.0,1245219.0
"3150 Iris Ave # F105,",1.0,1.0,"Boulder, CO 80301",11/17/15,,185000,40.036163,-105.2518,"Garage - Attached, 135 sqft garage",185000.0,185000,1300.0,996.0,1145.0,576.0,90300,0.0054,Condo,1969,184000.0,155000.0,168422.0,168422.0
"3056 6th St,",1.0,2.0,"Boulder, CO 80304",08/05/14,,445000,40.030216,-105.288795,Garage - Attached,445000.0,445000,3300.0,2300.0,2695.0,1795.0,436900,0.0054,Single Family,1950,951000.0,724000.0,841782.0,841782.0
"1554 Chambers Dr,",3.5,4.0,"Boulder, CO 80305",04/13/15,,450000,39.972835,-105.240567,204 sqft garage,450000.0,450000,3000.0,2300.0,2650.0,2400.0,293800,0.0054,Townhouse,1967,525000.0,471000.0,495324.0,495324.0
"50 S Boulder Cir APT 5016,",1.0,1.0,"Boulder, CO 80303",11/06/14,,156500,39.987362,-105.230597,,156500.0,156500,1700.0,1200.0,1375.0,637.0,125700,0.0054,Townhouse,1984,248000.0,195000.0,219426.0,219426.0
"10221 Fourmile Canyon Dr,",2.0,2.0,"Boulder, CO 80302",10/06/15,,300000,40.037158,-105.460839,192 sqft garage,300000.0,300000,2900.0,1700.0,2150.0,1688.0,226200,0.0054,Single Family,1977,351000.0,303000.0,318948.0,318948.0
"4135 Moorhead Ave,",2.0,4.0,"Boulder, CO 80305",02/24/15,,470000,39.990799,-105.243282,"Garage - Attached, 418 sqft garage",470000.0,470000,3200.0,2400.0,2695.0,2050.0,390600,0.0054,Single Family,1960,631000.0,538000.0,584662.0,584662.0
"792 Pine Brook Rd,",3.0,3.0,"Boulder, CO 80304",05/26/15, 6,772500,40.056368,-105.312185,"Garage - Attached, Off street, 528 sqft garage",772500.0,772500,4900.0,2600.0,3500.0,2700.0,550000,0.0054,Single Family,1978,836000.0,742000.0,780862.0,780862.0
"4780 8th St,",0.0,0.0,"Boulder, CO 80304",10/19/15,,891902,40.061267,-105.2863,,891902.0,891902,,,,0.0,58870,0.0054,Single Family,,,,,
"4245 Whitney Pl,",2.0,4.0,"Boulder, CO 80305",07/30/13,,510000,39.980338,-105.244695,"Garage - Attached, 297 sqft garage",510000.0,510000,3200.0,2500.0,2750.0,2248.0,413700,0.0054,Single Family,1962,680000.0,573000.0,629593.0,629593.0
"4520 Broadway St UNIT 206,",2.0,2.0,"Boulder, CO 80304",06/26/14,,425000,40.056481,-105.281934,"Garage - Detached, 200 sqft garage",425000.0,425000,3100.0,2100.0,2300.0,1226.0,374400,0.0054,Condo,2003,537000.0,486000.0,511471.0,511471.0
"2155 Walnut St APT 8,",3.0,3.0,"Boulder, CO 80302",07/05/13,,446900,40.018451,-105.266998,"Garage - Attached, 264 sqft garage",446900.0,446900,3100.0,2200.0,2600.0,1273.0,365600,0.0054,Condo,1977,543000.0,467000.0,502495.0,502495.0
"1430 18th St APT 1,",1.0,1.0,"Boulder, CO 80302",05/12/14,,187000,40.014386,-105.271426,,187000.0,187000,1800.0,1300.0,1450.0,432.0,156200,0.0054,Condo,1983,274000.0,219000.0,249332.0,249332.0
"3065 Denton Ave,",2.0,3.0,"Boulder, CO 80303",08/01/14,,355000,40.004665,-105.252385,162 sqft garage,355000.0,355000,2600.0,2000.0,2269.0,882.0,283700,0.0054,Single Family,1960,457000.0,409000.0,435364.0,435364.0
"4097 Saint Lucia St,",4.0,5.0,"Boulder, CO 80301",, 27,760000,40.048958,-105.249797,"Garage - Attached, 655 sqft garage",,985000,4500.0,2600.0,3950.0,4013.0,653700,0.0054,Single Family,1996,994000.0,899000.0,946417.0,
"3835 Orange Ct,",4.0,4.0,"Boulder, CO 80304",04/14/14,,950000,40.044588,-105.284775,"Garage - Attached, 576 sqft garage",950000.0,950000,5400.0,3600.0,4900.0,3772.0,955000,0.0054,Single Family,1980,1330000.0,1150000.0,1240856.0,1240856.0
"832 Lincoln Pl,",3.0,3.0,"Boulder, CO 80302",02/04/15,,1462500,40.002338,-105.280731,"Garage - Attached, 200 sqft garage",1462500.0,1462500,12000.0,5100.0,6700.0,2285.0,1175000,0.0054,Condo,1999,1780000.0,1610000.0,1694840.0,1694840.0
"1483 Old Tale Rd,",2.5,4.0,"Boulder, CO 80303",03/25/14,,890000,40.012754,-105.216199,"Garage - Attached, 646 sqft garage",890000.0,890000,5800.0,3800.0,4779.0,2425.0,817000,0.0054,Single Family,1968,1370000.0,1110000.0,1208473.0,1208473.0
"5571 Colt Dr,",1.5,4.0,"Longmont, CO 80503",10/31/13,,390000,40.075679,-105.17953,"Garage - Attached, 2 spaces, 550 sqft garage",390000.0,390000,3300.0,2300.0,2600.0,3496.0,361000,0.0054,Single Family,1972,559000.0,506000.0,532280.0,532280.0
"5048 Ralston St UNIT H,",0.0,0.0,"Boulder, CO 80304",11/06/14,,145886,40.065826,-105.285461,,145886.0,145886,3400.0,1300.0,2200.0,0.0,252000,0.0054,Condo,2014,194000.0,131000.0,161448.0,161448.0
"2795 Iliff St,",3.0,5.0,"Boulder, CO 80305",03/21/14,,685000,39.971287,-105.256791,"Garage - Attached, 2 spaces, 440 sqft garage",685000.0,685000,4400.0,2500.0,3850.0,3048.0,528000,0.0054,Single Family,1968,1030000.0,875000.0,961522.0,961522.0
"855 Park Ln,",3.0,4.0,"Boulder, CO 80302",10/17/13,,810000,40.003577,-105.289138,"Carport, Off street, 2 spaces, 352 sqft garage",810000.0,810000,11000.0,6200.0,6859.0,2794.0,874700,0.0054,Single Family,1967,2190000.0,1630000.0,1735697.0,1735697.0
"2321 Yarmouth Ave,",2.0,2.0,"Boulder, CO 80301",08/18/14,,720000,40.058428,-105.266429,,720000.0,720000,3400.0,2200.0,2695.0,1683.0,466000,0.0054,Single Family,1951,749000.0,626000.0,687466.0,687466.0
"1230 Tamarack Ave,",3.5,4.0,"Boulder, CO 80304",03/03/14,,240000,40.051565,-105.281618,"Garage - Attached, 516 sqft garage",240000.0,240000,5000.0,2800.0,3850.0,2650.0,87000,0.0054,Single Family,2015,943000.0,787000.0,865250.0,865250.0
"7104 Cedarwood Cir,",3.0,3.0,"Boulder, CO 80301",04/23/14, 123,425000,40.066309,-105.18557,"Garage - Attached, 440 sqft garage",425000.0,425000,3400.0,2500.0,2850.0,3371.0,416300,0.0054,Single Family,1978,679000.0,590000.0,634410.0,634410.0
"3000 Colorado Ave UNIT C111,",2.0,1.0,"Boulder, CO 80303",,,,40.006972,-105.252716,Off street,,,336000.0,283000.0,311379.0,1178.0,,,,1969,2300.0,1500.0,1825.0,
"89 Huron Ct,",4.0,3.0,"Boulder, CO 80303",10/06/15,,516500,39.987599,-105.223123,"Garage - Attached, 361 sqft garage",516500.0,516500,3400.0,2500.0,2975.0,1994.0,406700,0.0054,Single Family,1986,627000.0,547000.0,575381.0,575381.0
"3725 Cayman Pl,",2.5,4.0,"Boulder, CO 80301",08/19/14,,608000,40.050786,-105.249922,"Garage - Attached, 559 sqft garage",608000.0,608000,4100.0,2600.0,3289.0,3352.0,556000,0.0054,Single Family,1997,889000.0,789000.0,838960.0,838960.0
"2301 Pearl St APT 47,",1.0,1.0,"Boulder, CO 80302",01/06/14,,154500,40.021207,-105.265277,,154500.0,154500,1700.0,1200.0,1395.0,427.0,131800,0.0054,Condo,1984,206000.0,163000.0,185492.0,185492.0
"2625 Tabriz Pl APT D21,",1.0,3.0,"Boulder, CO 80304",03/30/16, 565,485000,40.035907,-105.262084,"Garage - Detached, 1 space, 220 sqft garage",485000.0,485000,2700.0,1300.0,1892.0,962.0,,0.0054,Condo,1999,249000.0,198000.0,222512.0,222512.0
"91 Fourmile Canyon Dr,",2.5,4.0,"Boulder, CO 80302",12/03/14,,1800000,40.017671,-105.325995,,1800000.0,1800000,5000.0,2400.0,3500.0,3609.0,639200,0.0054,Single Family,1944,977000.0,776000.0,872381.0,872381.0
"724 18th St,",2.0,3.0,"Boulder, CO 80302",11/26/15,,571000,40.000631,-105.269513,"Garage - Attached, 1 space, 210 sqft garage",571000.0,571000,3600.0,2600.0,3200.0,1230.0,458200,0.0054,Single Family,1994,781000.0,620000.0,697027.0,697027.0
"1950 Riverside Ave,",2.0,4.0,"Boulder, CO 80304",04/26/16,,1265000,40.049551,-105.27186,"Garage - Attached, 648 sqft garage",1265000.0,1265000,5400.0,3200.0,4614.0,2344.0,868800,0.0054,Single Family,1963,1230000.0,1090000.0,1166752.0,1166752.0
"4710 Holiday Dr UNIT 102,",1.0,2.0,"Boulder, CO 80304",12/20/13,,157160,40.060097,-105.278854,,157160.0,157160,2300.0,1400.0,1684.0,804.0,150400,0.0054,Townhouse,2006,296000.0,184000.0,227475.0,227475.0
"3325 Talisman Ct APT A,",2.0,3.0,"Boulder, CO 80301",06/20/13,,195000,40.03519,-105.246004,"Garage - Detached, 220 sqft garage",195000.0,195000,2400.0,1700.0,2100.0,1176.0,189800,0.0054,Townhouse,1979,316000.0,286000.0,301085.0,301085.0
"2800 Sundown Ln APT 106,",2.0,2.0,"Boulder, CO 80303",10/14/13,,290000,40.009796,-105.257602,"Garage - Detached, 190 sqft garage",290000.0,290000,2700.0,1900.0,2200.0,1241.0,290900,0.0054,Condo,1988,403000.0,361000.0,380220.0,380220.0
"827 Maxwell Ave APT J,",2.0,2.0,"Boulder, CO 80304",07/01/15,,450000,40.022026,-105.285453,280 sqft garage,450000.0,450000,2400.0,1700.0,2095.0,1004.0,335200,0.0054,Condo,1978,509000.0,455000.0,484504.0,484504.0
"3086 Edison Ct,",3.0,2.0,"Boulder, CO 80301",06/25/14, 169,330000,40.030633,-105.242161,"Garage - Detached, 200 sqft garage",330000.0,330000,2300.0,1700.0,2100.0,1210.0,252300,0.0054,Townhouse,1980,412000.0,370000.0,389031.0,389031.0
"935 Broadway St APT 201,",1.0,1.0,"Boulder, CO 80302",04/13/15, 175,284500,40.004133,-105.269539,"Garage - Attached, 162 sqft garage",284500.0,284500,2100.0,1300.0,1730.0,660.0,215200,0.0054,Townhouse,1989,346000.0,259000.0,300625.0,300625.0
"2020 5th St APT D,",2.0,2.0,"Boulder, CO 80302",09/04/14,,522500,40.016255,-105.288963,Off street,522500.0,522500,3400.0,2500.0,2776.0,1422.0,495600,0.0054,Condo,1975,843000.0,705000.0,766285.0,766285.0
"2309 Kalmia Ave,",4.0,4.0,"Boulder, CO 80304",06/20/14, 20,1030000,40.039915,-105.2664,"Garage - Attached, 400 sqft garage",1030000.0,1030000,5200.0,2900.0,4688.0,3993.0,690400,0.0054,Single Family,1976,1250000.0,1090000.0,1186299.0,1186299.0
"2885 Lee Hill Dr,",2.5,3.0,"Boulder, CO 80302",06/11/14,,654000,40.078014,-105.313137,"Garage - Attached, 576 sqft garage",654000.0,654000,4000.0,2600.0,2948.0,2896.0,449600,0.0054,Single Family,1981,877000.0,675000.0,776048.0,776048.0
"3775 Silver Plume Ln,",2.0,4.0,"Boulder, CO 80305",06/24/14, 25,650000,39.968311,-105.24906,"Garage - Attached, 400 sqft garage",650000.0,650000,3500.0,2600.0,2995.0,1642.0,499400,0.0054,Single Family,1976,793000.0,688000.0,748127.0,748127.0
"595 Manhattan Dr UNIT 201,",2.0,2.0,"Boulder, CO 80303",04/06/15,,287000,39.998179,-105.229484,"Garage - Detached, 1 space, 240 sqft garage",287000.0,287000,2100.0,1500.0,1800.0,947.0,220300,0.0054,Townhouse,1990,339000.0,300000.0,323047.0,323047.0
"4551 Eldorado Springs Dr,",3.0,4.0,"Boulder, CO 80303",10/09/13,,425000,39.944918,-105.2472,"Garage - Attached, 520 sqft garage",425000.0,425000,5600.0,3300.0,3980.0,1988.0,450000,0.0054,Single Family,1959,1180000.0,896000.0,1006922.0,1006922.0
"50 S Boulder Cir APT 5022,",1.0,1.0,"Boulder, CO 80303",08/14/13,,161000,39.987362,-105.230597,,161000.0,161000,1500.0,1200.0,1250.0,637.0,130000,0.0054,Condo,1984,254000.0,204000.0,228993.0,228993.0
"7399 Mount Meeker Rd,",3.0,4.0,"Longmont, CO 80503",08/16/13,,365000,40.077154,-105.181375,"Garage - Attached, 533 sqft garage",365000.0,365000,2900.0,2200.0,2475.0,2775.0,332800,0.0054,Single Family,1974,475000.0,408000.0,443566.0,443566.0
"7472 Singing Hills Ct,",1.0,1.0,"Boulder, CO 80301",08/20/15,,170000,40.068355,-105.179954,"Garage - Detached, 200 sqft garage",170000.0,170000,1600.0,1200.0,1330.0,640.0,107000,0.0054,Condo,1987,188000.0,169000.0,177735.0,177735.0
"6100 Habitat Dr APT 2,",1.0,2.0,"Boulder, CO 80301",10/01/15,,204000,40.060699,-105.211303,"Carport, On street, 144 sqft garage",204000.0,204000,1600.0,1200.0,1450.0,750.0,130000,0.0054,Condo,1989,224000.0,197000.0,209745.0,209745.0
"3250 Oneal Cir APT H10,",2.0,2.0,"Boulder, CO 80301",03/03/16, 210,301500,40.03456,-105.25157,Off street,301500.0,301500,1800.0,1200.0,1525.0,931.0,178800,0.0054,Condo,1969,296000.0,259000.0,278968.0,278968.0
"5894 Orchard Creek Ln,",4.0,3.0,"Boulder, CO 80301",06/21/13,,519900,40.056641,-105.216739,"Garage - Attached, 2 spaces, 420 sqft garage",519900.0,519900,3500.0,2500.0,2850.0,3251.0,482800,0.0054,Single Family,1993,721000.0,645000.0,686623.0,686623.0
"212 Coughlin Meadows Rd,",2.0,3.0,"Boulder, CO 80302",12/08/15,,235000,40.006437,-105.470991,"Garage - Attached, 320 sqft garage",235000.0,235000,3200.0,2000.0,2450.0,1614.0,290000,0.0054,Single Family,1980,555000.0,400000.0,470301.0,470301.0
"2711 Mapleton Ave APT 1,",1.0,1.0,"Boulder, CO 80304",09/17/15,,200000,40.025504,-105.260039,"Garage - Detached, 180 sqft garage",200000.0,200000,1300.0,1000.0,1100.0,400.0,108800,0.0054,Condo,1983,190000.0,135000.0,161024.0,161024.0
"6955 Harvest Rd,",2.25,4.0,"Boulder, CO 80301",04/22/15,,528000,40.072455,-105.191403,"Garage - Attached, 418 sqft garage",528000.0,528000,3400.0,2500.0,2875.0,3200.0,427900,0.0054,Single Family,1974,648000.0,569000.0,605688.0,605688.0
"815 Park Ln,",4.0,3.0,"Boulder, CO 80302",12/17/13,,1016500,40.00264,-105.289113,"Garage - Attached, 588 sqft garage",1016500.0,1016500,11000.0,6300.0,6983.0,3135.0,926600,0.0054,Single Family,1951,2070000.0,1610000.0,1767469.0,1767469.0
"3335 Heidelberg Dr,",1.5,4.0,"Boulder, CO 80305",07/10/13,,815000,39.973071,-105.254186,"Garage - Attached, 618 sqft garage",815000.0,815000,4200.0,2600.0,3295.0,3142.0,524700,0.0054,Single Family,1968,985000.0,874000.0,929502.0,929502.0
"3335 Cripple Creek Trl # E11,",1.5,2.0,"Boulder, CO 80305",03/05/14, 264,327000,39.967268,-105.254159,"Garage - Detached, 240 sqft garage",327000.0,327000,2500.0,1700.0,1895.0,1064.0,274100,0.0054,Condo,1978,414000.0,363000.0,390574.0,390574.0
"3130 9th St,",3.5,5.0,"Boulder, CO 80304",05/24/13,,1625000,40.031682,-105.285267,"Garage - Attached, 1148 sqft garage",1625000.0,1625000,16000.0,4400.0,8540.0,4549.0,1348800,0.0054,Single Family,2008,2270000.0,2050000.0,2160243.0,2160243.0
"2325 Forest Ave,",2.0,3.0,"Boulder, CO 80304",04/29/16,,730000,40.032624,-105.266275,319 sqft garage,730000.0,730000,3400.0,2300.0,2550.0,1160.0,394500,0.0054,Single Family,1957,655000.0,529000.0,601336.0,601336.0
"614 Streamside Ln,",1.5,3.0,"Boulder, CO 80302",03/06/14,,1265000,40.013416,-105.286731,"Garage - Attached, 503 sqft garage",1265000.0,1265000,7900.0,3400.0,4495.0,2759.0,1408200,0.0054,Single Family,2003,1720000.0,1460000.0,1620032.0,1620032.0
"3720 Smuggler Pl,",2.5,3.0,"Boulder, CO 80305",05/09/13,,480000,39.965209,-105.250086,"Garage - Detached, 231 sqft garage",480000.0,480000,3200.0,2300.0,2600.0,1306.0,359300,0.0054,Single Family,1977,532000.0,477000.0,502134.0,502134.0
"1310 Upland Ave,",3.5,4.0,"Boulder, CO 80304",01/27/16,,1650000,40.052755,-105.280633,,1650000.0,1650000,7900.0,3900.0,6003.0,4270.0,,0.0054,Single Family,2014,1590000.0,1440000.0,1518572.0,1518572.0
"98 Anemone Dr,",3.5,3.0,"Boulder, CO 80302",01/05/15,,655000,40.028357,-105.319296,"Garage - Attached, 576 sqft garage",655000.0,655000,5000.0,3200.0,4400.0,2628.0,824600,0.0054,Single Family,1970,1160000.0,902000.0,1013593.0,1013593.0
"1085 Broadway St APT 16,",1.0,1.0,"Boulder, CO 80302",10/27/14,,210000,40.006659,-105.27426,"Garage - Attached, 171 sqft garage",210000.0,210000,1900.0,1300.0,1695.0,550.0,190000,0.0054,Condo,1988,390000.0,245000.0,309821.0,309821.0
"33 S Boulder Cir APT 313,",2.0,2.0,"Boulder, CO 80303",08/24/15,,305000,39.986687,-105.230016,,305000.0,305000,1800.0,1400.0,1700.0,979.0,195200,0.0054,Condo,1993,330000.0,287000.0,311568.0,311568.0
"1341 Cedar Ave,",2.0,2.0,"Boulder, CO 80304",08/29/13,,1081500,40.028255,-105.278876,"Garage - Detached, 308 sqft garage",1081500.0,1081500,3700.0,2400.0,2902.0,1708.0,517900,0.0054,Single Family,1957,877000.0,724000.0,804918.0,804918.0
"60 S 31st St,",1.0,3.0,"Boulder, CO 80305",11/04/13,,365000,39.992201,-105.255594,"Garage - Attached, 270 sqft garage",365000.0,365000,2900.0,2100.0,2400.0,1026.0,335800,0.0054,Single Family,1955,633000.0,500000.0,575281.0,575281.0
"4656 White Rock Cir APT 2,",1.0,1.0,"Boulder, CO 80301",09/09/14, 167,135000,40.058533,-105.213593,,135000.0,135000,1500.0,1200.0,1330.0,669.0,105000,0.0054,Condo,1984,205000.0,178000.0,189716.0,189716.0
"4800 Osage Dr APT 17B,",2.0,2.0,"Boulder, CO 80303",08/02/13,,259500,39.989783,-105.233925,"Garage - Detached, 200 sqft garage",259500.0,259500,2200.0,1700.0,1950.0,918.0,233200,0.0054,Condo,1963,371000.0,335000.0,353094.0,353094.0
"903 Cherry Ave,",2.5,2.0,"Boulder, CO 80304",12/17/13,,415000,40.055659,-105.285298,"Garage - Attached, 264 sqft garage",415000.0,415000,3400.0,2200.0,2800.0,1056.0,397000,0.0054,Single Family,2013,895000.0,629000.0,739723.0,739723.0
"3184 9th St,",1.0,2.0,"Boulder, CO 80304",07/08/14,,595000,40.032576,-105.285273,"Garage - Detached, 216 sqft garage",595000.0,595000,3300.0,2200.0,2600.0,1268.0,425800,0.0054,Single Family,1940,879000.0,671000.0,771028.0,771028.0
"935 Broadway St APT 107,",2.0,2.0,"Boulder, CO 80302",08/01/14, 301,355000,40.004133,-105.269539,"Garage - Attached, 162 sqft garage",355000.0,355000,2500.0,1900.0,2100.0,924.0,301800,0.0054,Condo,1989,462000.0,389000.0,427940.0,427940.0
"955 Yale Rd,",3.0,4.0,"Boulder, CO 80305",03/16/16,,791000,39.980536,-105.253599,"Garage - Attached, 513 sqft garage",791000.0,791000,3500.0,2500.0,2924.0,2511.0,543300,0.0054,Single Family,1963,829000.0,735000.0,781935.0,781935.0
"3250 Oneal Cir APT H21,",1.0,1.0,"Boulder, CO 80301",01/09/15,,129900,40.03456,-105.25157,,129900.0,129900,1300.0,996.0,1119.0,631.0,110700,0.0054,Condo,1969,187000.0,169000.0,178107.0,178107.0
"780 W Moorhead Cir APT C,",1.5,2.0,"Boulder, CO 80305",12/01/15,,358000,39.981886,-105.237291,"Garage - Detached, 200 sqft garage",358000.0,358000,2300.0,1700.0,1875.0,1040.0,216000,0.0054,Condo,1972,384000.0,348000.0,366073.0,366073.0
